Date,Sales
2019-01-01,53356
2019-01-02,77426
2019-01-03,60471
2019-01-04,80869
2019-01-05,73937
2019-01-06,52358
2019-01-07,73391
2019-01-08,80094
2019-01-09,74612
2019-01-10,64521
2019-01-11,69066
2019-01-12,51657
2019-01-13,71543
2019-01-14,78470
2019-01-15,67241
2019-01-16,69495
2019-01-17,66024
2019-01-18,64749
2019-01-19,58635
2019-01-20,99717
2019-01-21,77737
2019-01-22,99419
2019-01-23,62453
2019-01-24,61307
2019-01-25,63820
2019-01-26,83532
2019-01-27,60110
2019-01-28,72219
2019-01-29,93458
2019-01-30,56133
2019-01-31,63630
2019-02-01,97900
2019-02-02,79493
2019-02-03,64295
2019-02-04,96294
2019-02-05,64118
2019-02-06,63500
2019-02-07,97118
2019-02-08,64915
2019-02-09,82214
2019-02-10,85992
2019-02-11,58745
2019-02-12,60736
2019-02-13,57212
2019-02-14,93775
2019-02-15,62896
2019-02-16,82374
2019-02-17,72287
2019-02-18,79498
2019-02-19,99104
2019-02-20,75361
2019-02-21,95869
2019-02-22,64818
2019-02-23,56621
2019-02-24,89081
2019-02-25,65966
2019-02-26,71696
2019-02-27,98961
2019-02-28,68936
2019-03-01,85717
2019-03-02,72271
2019-03-03,81631
2019-03-04,55663
2019-03-05,76488
2019-03-06,78994
2019-03-07,60349
2019-03-08,95826
2019-03-09,68646
2019-03-10,65159
2019-03-11,88025
2019-03-12,68953
2019-03-13,82294
2019-03-14,63168
2019-03-15,65737
2019-03-16,75658
2019-03-17,71976
2019-03-18,89709
2019-03-19,68974
2019-03-20,90362
2019-03-21,98038
2019-03-22,53129
2019-03-23,82489
2019-03-24,55996
2019-03-25,82879
2019-03-26,98788
2019-03-27,61269
2019-03-28,86373
2019-03-29,63056
2019-03-30,72280
2019-03-31,92496
2019-04-01,90864
2019-04-02,56524
2019-04-03,62333
2019-04-04,51207
2019-04-05,71823
2019-04-06,73346
2019-04-07,59875
2019-04-08,93052
2019-04-09,71961
2019-04-10,89284
2019-04-11,59831
2019-04-12,65580
2019-04-13,72647
2019-04-14,80964
2019-04-15,98407
2019-04-16,59146
2019-04-17,57736
2019-04-18,99922
2019-04-19,71817
2019-04-20,82438
2019-04-21,97687
2019-04-22,59955
2019-04-23,56819
2019-04-24,81718
2019-04-25,95391
2019-04-26,79464
2019-04-27,97258
2019-04-28,67237
2019-04-29,54680
2019-04-30,89309
2019-05-01,95826
2019-05-02,71364
2019-05-03,93028
2019-05-04,84729
2019-05-05,90574
2019-05-06,71534
2019-05-07,83528
2019-05-08,68129
2019-05-09,97602
2019-05-10,64213
2019-05-11,89245
2019-05-12,63981
2019-05-13,66824
2019-05-14,55925
2019-05-15,83115
2019-05-16,64176
2019-05-17,66076
2019-05-18,66929
2019-05-19,83275
2019-05-20,72025
2019-05-21,61653
2019-05-22,59290
2019-05-23,62991
2019-05-24,90942
2019-05-25,89918
2019-05-26,75514
2019-05-27,58816
2019-05-28,53915
2019-05-29,73454
2019-05-30,88472
2019-05-31,71799
2019-06-01,90083
2019-06-02,81399
2019-06-03,56591
2019-06-04,73056
2019-06-05,88164
2019-06-06,87288
2019-06-07,60463
2019-06-08,99178
2019-06-09,91846
2019-06-10,85795
2019-06-11,52686
2019-06-12,71018
2019-06-13,94786
2019-06-14,75940
2019-06-15,53922
2019-06-16,86603
2019-06-17,59954
2019-06-18,86224
2019-06-19,97002
2019-06-20,95406
2019-06-21,65539
2019-06-22,52091
2019-06-23,91458
2019-06-24,55516
2019-06-25,95333
2019-06-26,95315
2019-06-27,87470
2019-06-28,82527
2019-06-29,54914
2019-06-30,94302
2019-07-01,50076
2019-07-02,74379
2019-07-03,85606
2019-07-04,71658
2019-07-05,78458
2019-07-06,50220
2019-07-07,61549
2019-07-08,79424
2019-07-09,99928
2019-07-10,61958
2019-07-11,50670
2019-07-12,76482
2019-07-13,87280
2019-07-14,71181
2019-07-15,85578
2019-07-16,54751
2019-07-17,90907
2019-07-18,93617
